Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies
5,0.0,1000,150,850,12,5,2980,5692,8672,4.529
5,0.05,1000,148,852,18,1,2853,5689,8542,4.401
5,0.1,1000,158,842,15,4,2990,5706,8696,4.485
5,0.15,1000,147,853,18,2,2958,5672,8630,4.271
5,0.2,1000,127,873,30,9,2829,5714,8543,4.05
5,0.25,1000,132,868,30,8,2844,5732,8576,4.113
5,0.3,1000,134,866,32,4,2923,5686,8609,4.061
5,0.35,1000,122,878,25,5,2912,5721,8633,3.921
5,0.4,1000,109,891,27,6,2868,5744,8612,3.822
5,0.45,1000,124,876,38,2,2901,5705,8606,3.714
5,0.5,1000,127,873,46,4,2916,5703,8619,3.58
5,0.55,1000,108,892,76,5,2841,5687,8528,3.109
5,0.6,1000,120,880,95,8,2833,5631,8464,2.867
5,0.65,1000,110,890,107,10,2852,5660,8512,2.784
5,0.7,1000,118,882,108,20,2800,5648,8448,2.634
5,0.75,1000,105,895,156,16,2736,5595,8331,2.488
5,0.8,1000,98,902,162,11,2801,5581,8382,2.409
5,0.85,1000,113,887,185,11,2783,5541,8324,2.293
5,0.9,1000,109,891,190,12,2730,5524,8254,2.194
5,0.95,1000,105,895,196,11,2726,5502,8228,2.185
5,1.0,1000,103,897,217,21,2713,5487,8200,2.057
5,1.05,1000,108,892,233,17,2740,5452,8192,1.885
5,1.1,1000,99,901,261,13,2704,5436,8140,1.868
5,1.15,1000,98,902,239,9,2726,5455,8181,1.82
5,1.2,1000,108,892,284,12,2742,5389,8131,1.734
5,1.25,1000,100,900,267,15,2707,5425,8132,1.642
5,1.3,1000,103,897,307,13,2707,5365,8072,1.604
5,1.35,1000,119,881,318,21,2694,5316,8010,1.532
5,1.4,1000,95,905,305,14,2665,5380,8045,1.48
5,1.45,1000,109,891,327,23,2741,5344,8085,1.405
5,1.5,1000,100,900,302,19,2680,5380,8060,1.448
5,1.55,1000,104,896,349,13,2701,5295,7996,1.334
5,1.6,1000,111,889,362,24,2734,5294,8028,1.372
5,1.65,1000,104,896,370,11,2725,5243,7968,1.224
5,1.7,1000,90,910,370,13,2604,5278,7882,1.261
5,1.75,1000,95,905,399,19,2647,5212,7859,1.219
5,1.8,1000,94,906,368,13,2656,5291,7947,1.28
5,1.85,1000,94,906,369,22,2648,5258,7906,1.2
5,1.9,1000,96,904,386,14,2636,5247,7883,1.158
5,1.95,1000,106,894,340,16,2708,5302,8010,1.243
5,2.0,1000,97,903,367,22,2677,5258,7935,1.186
6,0.0,1000,102,898,16,3,2977,5797,8774,3.792
6,0.05,1000,109,891,47,1,2954,5742,8696,3.8
6,0.1,1000,121,879,34,1,3054,5746,8800,3.849
6,0.15,1000,113,887,66,5,2931,5736,8667,3.724
6,0.2,1000,113,887,58,3,2935,5748,8683,3.629
6,0.25,1000,139,861,50,3,3060,5659,8719,3.198
6,0.3,1000,230,770,73,14,3328,5359,8687,2.258
6,0.35,1000,246,754,69,16,3377,5340,8717,2.113
6,0.4,1000,269,731,64,14,3374,5323,8697,2.101
6,0.45,1000,255,745,65,13,3423,5321,8744,2.038
6,0.5,1000,255,745,83,17,3382,5312,8694,2.076
6,0.55,1000,245,755,100,19,3364,5248,8612,1.854
6,0.6,1000,242,758,101,16,3368,5262,8630,1.749
6,0.65,1000,235,765,133,22,3311,5220,8531,1.587
6,0.7,1000,241,759,159,18,3377,5248,8625,1.462
6,0.75,1000,246,754,157,25,3310,5191,8501,1.311
6,0.8,1000,277,723,190,15,3475,5052,8527,1.222
6,0.85,1000,279,721,202,22,3422,5037,8459,1.108
6,0.9,1000,305,695,193,34,3443,4975,8418,1.001
6,0.95,1000,282,718,214,35,3443,5044,8487,0.914
6,1.0,1000,268,732,226,36,3376,5033,8409,0.907
6,1.05,1000,310,690,222,49,3479,4954,8433,0.795
6,1.1,1000,292,708,232,35,3470,4988,8458,0.755
6,1.15,1000,295,705,248,33,3481,4974,8455,0.725
6,1.2,1000,293,707,273,37,3499,4916,8415,0.649
6,1.25,1000,296,704,227,37,3464,4970,8434,0.689
6,1.3,1000,290,710,265,38,3465,4923,8388,0.632
6,1.35,1000,279,721,260,39,3405,4982,8387,0.613
6,1.4,1000,304,696,273,39,3485,4859,8344,0.542
6,1.45,1000,294,706,284,38,3470,4885,8355,0.52
6,1.5,1000,284,716,272,43,3419,4915,8334,0.514
6,1.55,1000,315,685,256,44,3422,4903,8325,0.561
6,1.6,1000,297,703,316,48,3457,4817,8274,0.48
6,1.65,1000,305,695,282,41,3479,4878,8357,0.547
6,1.7,1000,297,703,280,48,3423,4911,8334,0.522
6,1.75,1000,303,697,286,47,3471,4877,8348,0.445
6,1.8,1000,303,697,303,44,3451,4834,8285,0.428
6,1.85,1000,277,723,304,43,3425,4904,8329,0.456
6,1.9,1000,302,698,284,50,3451,4893,8344,0.392
6,1.95,1000,300,700,297,40,3437,4862,8299,0.477
6,2.0,1000,292,708,296,39,3474,4843,8317,0.435
7,0.0,1000,236,764,17,8,3180,5480,8660,4.092
7,0.05,1000,218,782,9,2,3177,5533,8710,4.14
7,0.1,1000,227,773,5,1,3196,5520,8716,4.103
7,0.15,1000,229,771,14,3,3222,5511,8733,3.958
7,0.2,1000,212,788,18,1,3139,5526,8665,3.799
7,0.25,1000,179,821,27,4,3124,5542,8666,3.564
7,0.3,1000,225,775,30,4,3157,5447,8604,3.466
7,0.35,1000,194,806,36,4,3141,5471,8612,3.567
7,0.4,1000,235,765,39,5,3235,5414,8649,3.357
7,0.45,1000,187,813,55,2,3147,5491,8638,3.427
7,0.5,1000,182,818,53,4,3109,5515,8624,3.306
7,0.55,1000,179,821,75,2,3041,5487,8528,2.774
7,0.6,1000,196,804,77,6,3111,5472,8583,2.424
7,0.65,1000,172,828,82,8,3037,5486,8523,2.207
7,0.7,1000,157,843,97,2,3007,5498,8505,2.196
7,0.75,1000,123,877,128,9,2954,5539,8493,2.016
7,0.8,1000,124,876,156,6,2888,5497,8385,1.808
7,0.85,1000,126,874,162,9,2915,5518,8433,1.882
7,0.9,1000,136,864,174,7,2964,5472,8436,1.612
7,0.95,1000,113,887,191,9,2895,5475,8370,1.57
7,1.0,1000,150,850,199,7,2995,5348,8343,1.443
7,1.05,1000,116,884,212,9,2871,5437,8308,1.388
7,1.1,1000,114,886,218,4,2927,5429,8356,1.374
7,1.15,1000,122,878,219,9,2889,5426,8315,1.295
7,1.2,1000,140,860,205,4,2909,5384,8293,1.273
7,1.25,1000,140,860,216,8,2905,5375,8280,1.225
7,1.3,1000,105,895,231,4,2779,5428,8207,1.117
7,1.35,1000,118,882,254,3,2896,5331,8227,1.082
7,1.4,1000,127,873,238,13,2823,5377,8200,1.154
7,1.45,1000,127,873,206,5,2876,5415,8291,1.047
7,1.5,1000,122,878,263,8,2825,5319,8144,1.099
7,1.55,1000,110,890,265,8,2873,5358,8231,0.993
7,1.6,1000,136,864,261,9,2882,5319,8201,0.97
7,1.65,1000,139,861,263,5,2879,5292,8171,1.065
7,1.7,1000,143,857,251,6,2907,5340,8247,1.092
7,1.75,1000,134,866,243,8,2899,5345,8244,1.142
7,1.8,1000,149,851,271,13,2922,5258,8180,0.896
7,1.85,1000,131,869,262,9,2896,5331,8227,1.076
7,1.9,1000,122,878,254,10,2871,5339,8210,0.954
7,1.95,1000,138,862,282,14,2890,5280,8170,0.95
7,2.0,1000,131,869,287,10,2936,5296,8232,0.976
8,0.0,1000,156,844,1,4,3244,5721,8965,4.668
8,0.05,1000,175,825,1,0,3266,5658,8924,4.625
8,0.1,1000,154,846,3,0,3231,5729,8960,4.633
8,0.15,1000,153,847,7,0,3212,5719,8931,4.573
8,0.2,1000,234,766,9,0,3406,5516,8922,3.816
8,0.25,1000,330,670,23,3,3626,5167,8793,2.39
8,0.3,1000,358,642,25,7,3711,5083,8794,2.218
8,0.35,1000,358,642,25,9,3739,5095,8834,2.229
8,0.4,1000,350,650,33,9,3709,5113,8822,2.227
8,0.45,1000,303,697,46,7,3610,5232,8842,1.978
8,0.5,1000,318,682,73,7,3623,5155,8778,1.858
8,0.55,1000,313,687,79,11,3565,5138,8703,1.611
8,0.6,1000,286,714,91,6,3560,5158,8718,1.481
8,0.65,1000,266,734,128,10,3466,5157,8623,1.369
8,0.7,1000,303,697,131,10,3598,5047,8645,1.14
8,0.75,1000,287,713,164,15,3540,5074,8614,1.002
8,0.8,1000,290,710,167,15,3571,5076,8647,0.925
8,0.85,1000,294,706,182,20,3568,5035,8603,0.852
8,0.9,1000,286,714,204,17,3525,5022,8547,0.87
8,0.95,1000,308,692,179,19,3538,5000,8538,0.78
8,1.0,1000,282,718,205,14,3546,5024,8570,0.735
8,1.05,1000,265,735,231,11,3471,5046,8517,0.704
8,1.1,1000,299,701,244,15,3553,4939,8492,0.591
8,1.15,1000,296,704,237,11,3533,4929,8462,0.567
8,1.2,1000,295,705,254,25,3554,4900,8454,0.556
8,1.25,1000,275,725,254,18,3493,4959,8452,0.605
8,1.3,1000,305,695,243,16,3602,4923,8525,0.495
8,1.35,1000,286,714,251,25,3535,4967,8502,0.486
8,1.4,1000,273,727,267,18,3496,4965,8461,0.489
8,1.45,1000,282,718,257,20,3519,4957,8476,0.46
8,1.5,1000,321,679,242,19,3576,4910,8486,0.429
8,1.55,1000,287,713,283,16,3530,4913,8443,0.427
8,1.6,1000,304,696,259,17,3545,4887,8432,0.426
8,1.65,1000,297,703,282,23,3557,4901,8458,0.408
8,1.7,1000,311,689,253,21,3562,4907,8469,0.436
8,1.75,1000,289,711,249,21,3502,4971,8473,0.464
8,1.8,1000,325,675,274,25,3598,4842,8440,0.393
8,1.85,1000,300,700,276,12,3539,4864,8403,0.407
8,1.9,1000,269,731,276,22,3418,4963,8381,0.425
8,1.95,1000,305,695,262,21,3548,4882,8430,0.403
8,2.0,1000,285,715,257,19,3540,4963,8503,0.399
9,0.0,1000,233,767,23,19,3185,5514,8699,3.052
9,0.05,1000,235,765,16,0,3223,5465,8688,2.901
9,0.1,1000,250,750,18,3,3235,5453,8688,2.923
9,0.15,1000,240,760,25,3,3231,5473,8704,2.788
9,0.2,1000,243,757,31,4,3208,5415,8623,2.537
9,0.25,1000,245,755,28,7,3270,5441,8711,2.412
9,0.3,1000,224,776,40,10,3207,5449,8656,2.562
9,0.35,1000,228,772,60,9,3212,5416,8628,2.281
9,0.4,1000,236,764,92,8,3290,5338,8628,2.019
9,0.45,1000,231,769,83,14,3207,5365,8572,2.005
9,0.5,1000,228,772,77,7,3238,5354,8592,1.916
9,0.55,1000,239,761,88,9,3248,5355,8603,1.562
9,0.6,1000,203,797,107,8,3143,5391,8534,1.544
9,0.65,1000,204,796,112,7,3039,5391,8430,1.362
9,0.7,1000,198,802,134,12,3116,5382,8498,1.239
9,0.75,1000,154,846,133,4,3002,5463,8465,1.226
9,0.8,1000,179,821,131,4,3090,5377,8467,1.097
9,0.85,1000,162,838,138,8,2987,5435,8422,1.023
9,0.9,1000,152,848,180,10,2973,5394,8367,0.929
9,0.95,1000,187,813,175,10,3111,5316,8427,0.839
9,1.0,1000,174,826,184,5,3064,5391,8455,0.827
9,1.05,1000,155,845,169,11,2951,5424,8375,0.798
9,1.1,1000,180,820,187,13,3039,5362,8401,0.746
9,1.15,1000,141,859,174,5,2963,5428,8391,0.76
9,1.2,1000,173,827,185,12,3035,5335,8370,0.728
9,1.25,1000,158,842,212,11,2957,5336,8293,0.721
9,1.3,1000,167,833,191,8,3032,5365,8397,0.636
9,1.35,1000,166,834,193,11,3014,5376,8390,0.68
9,1.4,1000,157,843,210,5,2942,5340,8282,0.654
9,1.45,1000,145,855,199,9,2938,5372,8310,0.689
9,1.5,1000,151,849,217,13,2922,5339,8261,0.645
9,1.55,1000,171,829,202,13,2986,5330,8316,0.615
9,1.6,1000,159,841,228,5,2997,5304,8301,0.585
9,1.65,1000,172,828,202,14,2981,5316,8297,0.625
9,1.7,1000,155,845,194,10,2987,5381,8368,0.645
9,1.75,1000,159,841,213,18,3009,5299,8308,0.572
9,1.8,1000,167,833,202,10,2972,5353,8325,0.614
9,1.85,1000,169,831,199,16,2959,5322,8281,0.613
9,1.9,1000,195,805,205,14,3015,5240,8255,0.649
9,1.95,1000,171,829,211,16,2991,5311,8302,0.593
9,2.0,1000,147,853,205,10,2929,5409,8338,0.622
10,0.0,1000,158,842,6,8,3119,5699,8818,3.677
10,0.05,1000,127,873,1,0,3095,5774,8869,3.708
10,0.1,1000,169,831,3,0,3198,5710,8908,3.683
10,0.15,1000,185,815,9,0,3214,5639,8853,3.35
10,0.2,1000,356,644,32,2,3679,5162,8841,1.762
10,0.25,1000,404,596,26,11,3773,5083,8856,1.598
10,0.3,1000,388,612,37,9,3775,5029,8804,1.473
10,0.35,1000,418,582,21,7,3847,4997,8844,1.441
10,0.4,1000,401,599,48,12,3804,5039,8843,1.365
10,0.45,1000,382,618,67,14,3745,5018,8763,1.316
10,0.5,1000,376,624,77,16,3771,5037,8808,1.186
10,0.55,1000,341,659,100,13,3665,5036,8701,0.96
10,0.6,1000,375,625,97,17,3733,4995,8728,0.877
10,0.65,1000,342,658,120,10,3664,5019,8683,0.734
10,0.7,1000,329,671,124,10,3667,5074,8741,0.726
10,0.75,1000,323,677,145,18,3627,5042,8669,0.644
10,0.8,1000,311,689,145,8,3645,5057,8702,0.609
10,0.85,1000,313,687,164,15,3608,5039,8647,0.545
10,0.9,1000,325,675,160,10,3652,5019,8671,0.492
10,0.95,1000,334,666,164,9,3621,4977,8598,0.423
10,1.0,1000,319,681,181,12,3635,5024,8659,0.41
10,1.05,1000,326,674,173,15,3589,5000,8589,0.355
10,1.1,1000,346,654,204,14,3647,4904,8551,0.322
10,1.15,1000,331,669,179,17,3623,4964,8587,0.305
10,1.2,1000,325,675,174,14,3576,5011,8587,0.345
10,1.25,1000,334,666,180,14,3631,4962,8593,0.3
10,1.3,1000,312,688,204,13,3613,4968,8581,0.294
10,1.35,1000,324,676,202,20,3618,4983,8601,0.253
10,1.4,1000,317,683,176,16,3613,5009,8622,0.275
10,1.45,1000,324,676,196,18,3551,4948,8499,0.248
10,1.5,1000,329,671,203,22,3539,4977,8516,0.276
10,1.55,1000,302,698,230,13,3530,4999,8529,0.264
10,1.6,1000,311,689,206,21,3560,4994,8554,0.255
10,1.65,1000,327,673,206,25,3603,4955,8558,0.238
10,1.7,1000,315,685,203,29,3552,4977,8529,0.22
10,1.75,1000,325,675,214,32,3542,4939,8481,0.224
10,1.8,1000,341,659,228,23,3603,4930,8533,0.178
10,1.85,1000,349,651,207,31,3638,4902,8540,0.211
10,1.9,1000,335,665,206,24,3603,4953,8556,0.221
10,1.95,1000,323,677,202,18,3630,4930,8560,0.21
10,2.0,1000,336,664,200,24,3598,4932,8530,0.176